id_bien;No voie;B/T/Q;Type de voie;Voie;Nombre pieces principales;Surface Carrez du 1er lot;Surface reelle bati;Type local;code_dep_com
11834;45;;RUE;MARCELLIN BERTHELOT;2;31.6;33;Appartement;83090
11835;9001;;;OLIVIERS HAUTS ISSAMBRES;2;34.9;34;Appartement;83107
11836;24;;AV;DE CASABIANCA;1;26.25;26;Appartement;83115
11837;1865;;AV;JOSEPH GASQUET;4;67.65;68;Maison;83137
11838;16;;RUE;DES GALEJADES MFT;3;72.59;65;Maison;84007
11839;22;;RUE;DES RESEDAS;2;45.43;45;Appartement;85194
11840;25;;ESP;DE LA MER;4;60.35;60;Appartement;85234
11841;11;;RES;LE HAMEAU DU PERTHUIS;2;30.5;32;Maison;85294
11842;17;;RUE;JEAN VIRIOT;3;83.38;84;Appartement;88160
11843;29;;RUE;D EPINAL;2;47.5;50;Appartement;88209
11844;76;;AV;HOCHE;4;83.23;81;Appartement;89024
11845;6;;RUE;DE BELFORT;3;54.45;54;Appartement;89024
11846;16;;AV;JACQUES CHIRAC;3;82.76;82;Appartement;91027
11847;4;;RUE;DU GENERAL LECLERC;1;24.85;28;Appartement;91103
11848;105;;RUE;DU BOIS DE CHATRES;1;18.76;20;Appartement;91103
11849;2;;RUE;DU BOIS DE CHATRES;4;89.04;91;Maison;91103
11850;53;;RUE;DES ECOLES;4;77.26;79;Maison;91105
11851;4;;AV;DE CHALANDRAY;3;65.45;62;Appartement;91114
11852;58;;QUAI;JACQUES BOURGOIN;4;115.81;114;Appartement;91174
11853;9001;;CHE;DE LA VIEILLE VIGNE;4;70.42;72;Appartement;91312
11854;47;;RUE;WURTZ;1;27.15;27;Appartement;91326
11855;1;;RUE;DU LANGUEDOC;3;52.5;53;Appartement;91377
11856;17;;RUE;DE LA SABLIERE;3;53.31;50;Appartement;91386
11857;5;;RES;LES ACACIAS;3;71.5;70;Appartement;91386
11858;5;B;RUE;DE LAUNAY;5;107.25;108;Maison;91405
11859;14;;RUE;POVOA DE VARZIM;2;52.15;50;Appartement;91421
11860;4;;RUE;DES PONTS;3;91.59;80;Appartement;91433
11861;70;;RUE;DU TEMPLE;2;26.25;33;Appartement;91521
11862;13;;RTE;DE GRIGNY;2;41.7;41;Appartement;91521
11863;7;;CHEM;DE LA SABLIERE;4;132.75;130;Maison;91552
11864;9;;RUE;DEBUSSY;3;68.79;68;Appartement;91570
11865;8;;RUE;GOUNOD;2;54.0;53;Appartement;91570
11866;49;;RUE;ST CAPRAIS;1;28.72;30;Appartement;91579
11867;8;;AV;FRANCIS BERGERON;3;59.04;59;Appartement;91589
11868;25;B;RUE;GRANDE RUE;2;35.85;35;Appartement;91665
11869;2;;RUE;ALBERT DE MUN;2;33.55;31;Appartement;92004
11870;22;;RUE;ALPHONSE PLUCHET;3;47.9;48;Appartement;92007
11871;269;;AV;D ARGENTEUIL;2;27.73;30;Appartement;92009
11872;19;;RUE;DE LA BIEVRE;3;50.7;52;Appartement;92014
11873;7;B;RUE;ANDRE THEURIET;2;45.62;47;Appartement;92014
11874;6;;RUE;DE MERSEBURG;4;83.07;80;Appartement;92020
11875;23;;BD;EDGAR QUINET;2;41.19;41;Appartement;92025
11876;140;;RUE;DE NORMANDIE;3;49.23;54;Appartement;92026
11877;12;;RUE;SYLVAIN VIGNERAS;4;90.14;89;Appartement;92033
11878;8;;RUE;ERNEST RENAN;4;83.09;83;Appartement;92040
11879;9;;RUE;DU GENERAL LECLERC;3;50.67;51;Appartement;92040
11880;24;;RUE;L ABBE GREGOIRE;5;90.33;80;Appartement;92040
11881;28;;RUE;DU GOUVERNEUR GAL EBOUE;3;72.42;73;Appartement;92040
11882;35;;RUE;ERNEST COGNACQ;3;70.2;65;Appartement;92044
11883;9;;RUE;FRANCOIS COPPEE;5;302.35;156;Appartement;92046
11884;20;;RUE;DE LA COTE;3;51.47;52;Appartement;92050
11885;24;;RUE;MADELEINE MICHELIS;2;45.04;48;Appartement;92051
11886;6;;RUE;BLAISE PASCAL;1;15.8;16;Appartement;92051
11887;4;;RUE;RACINE;1;28.87;27;Appartement;92063
11888;11;;RUE;HAUTE;2;45.6;45;Appartement;92063
11889;10;;AV;CARNOT;2;39.36;38;Appartement;92071
11890;17;;RUE;JEAN LOUIS SINET;4;110.46;110;Appartement;92071
11891;6;;RUE;MARC SANGNIER;2;49.68;49;Appartement;92075
11892;2;;RUE;KLEBER;2;32.31;35;Appartement;92075
11893;4;;RUE;HOCHE;1;35.74;42;Appartement;92075
11894;91;;AV;DE NONNEVILLE;3;21.8;42;Appartement;93005
11895;102;;AV;MARCEAU;1;26.05;26;Appartement;93029
11896;132;;RUE;ANATOLE FRANCE;1;43.02;45;Appartement;93029
11897;132;;RUE;ANATOLE FRANCE;2;33.89;40;Appartement;93029
11898;13;B;AV;DE LA PEPINIERE;1;22.09;21;Appartement;93032
11899;106;;AV;HENRI BARBUSSE;3;65.61;63;Appartement;93032
11900;22;;AV;DU MAL LECLERC;1;20.41;19;Appartement;93046
11901;99;B;RUE;MARCEAU;3;64.32;64;Appartement;93048
11902;30;;RUE;DE MERLAN;3;57.06;30;Maison;93053
11903;188;;AV;JEAN LOLIVE;1;38.33;36;Appartement;93055
11904;19;;AV;VICTOR HUGO;3;60.4;62;Appartement;93057
11905;27;;AV;P VAILLANT COUTURIER;3;50.78;49;Appartement;93063
11906;4;;RUE;CAPITAINE ALFRED DREYFUS;3;62.8;61;Appartement;93066
11907;33;;RUE;EUGENE LUMEAU;2;39.3;39;Appartement;93070
11908;42;;AV;GASTON MONMOUSSEAU;1;31.46;32;Appartement;93072
11909;5;;RUE;ROGER MORDREL;4;67.51;68;Appartement;94002
11910;17;;BD;GALLIENI;5;104.94;105;Maison;94015
11911;18;;AV;CLAUDE DEBUSSY;2;43.53;44;Appartement;94019
11912;4;;SQ;SALVADOR ALLENDE;2;50.2;50;Appartement;94022
11913;30;;AV;LEON GOURDAULT;1;23.0;22;Appartement;94022
11914;6;;AV;ANATOLE FRANCE;3;67.31;69;Appartement;94022
11915;9;;AV;FRANCOIS MITTERRAND;1;18.09;18;Appartement;94028
11916;36;;RUE;JULES FERRY;2;33.0;30;Appartement;94033
11917;9;;RUE;DE LA PLANCHE;3;52.48;49;Appartement;94033
11918;13;;AV;DOC ANTOINE LACROIX;3;54.0;57;Appartement;94043
11919;13;;PL;LOUIS ARAGON;3;67.85;66;Appartement;94044
11920;29;;;DNE DE CHATEAU GAILLARD;4;60.9;69;Appartement;94046
11921;4;;RUE;MARTHE CHENAL;1;21.22;23;Appartement;94069
11922;16;;RUE;MAURICE BERTEAUX;4;68.53;69;Appartement;94071
11923;23;;PAS;DES RESERVOIRS;1;27.12;27;Appartement;94076
11924;3;;RUE;JEAN LOUIS;1;25.06;25;Appartement;94078
11925;3;;RUE;DE LA FRATERNITE;1;15.91;17;Appartement;94080
11926;30;;AV;DE LA REPUBLIQUE;3;57.05;53;Appartement;94080
11927;68;;RUE;CHARLES FOURIER;2;31.68;30;Appartement;94081
11928;26;;AV;DE L HOTEL DE VILLE;4;81.0;80;Appartement;95252
11929;12;;RUE;JEAN PIERRE TIMBAUD;1;17.28;18;Appartement;95268
11930;5;;ALL;MOLIERE;4;63.77;64;Appartement;95268
11931;23;;RUE;DES ACACIAS;1;30.38;30;Appartement;95268
11932;9012;;RES;DU BOIS BOULOGNE;3;64.75;64;Appartement;95313
11933;9;;QUAI;DE L OISE;3;55.11;45;Appartement;95313
