id_vente;Date mutation;Valeur fonciere;Nature mutation;id_bien
495;2020-01-06;129000;Vente;495
496;2020-01-06;197050;Vente;496
497;2020-01-06;389980;Vente;497
498;2020-01-06;109000;Vente;498
499;2020-01-06;195000;Vente;499
500;2020-01-06;137000;Vente;500
501;2020-01-06;189800;Vente;501
502;2020-01-06;285500;Vente;502
503;2020-01-06;165000;Vente;503
504;2020-01-06;225000;Vente;504
505;2020-01-06;252000;Vente;505
506;2020-01-06;244783;Vente;506
507;2020-01-06;1400000;Vente;507
508;2020-01-06;240750;Vente;508
509;2020-01-06;100000;Vente;509
510;2020-01-06;660000;Vente;510
511;2020-01-06;1690000;Vente;511
512;2020-01-06;130000;Vente;512
513;2020-01-06;179500;Vente;513
514;2020-01-06;212500;Vente;514
515;2020-01-06;208000;Vente;515
516;2020-01-06;181230;Vente;516
517;2020-01-07;220900;Vente;517
518;2020-01-07;212150;Vente;518
519;2020-01-07;262000;Vente;519
520;2020-01-07;131990;Vente;520
521;2020-01-07;133950;Vente;521
522;2020-01-07;405000;Vente;522
523;2020-01-07;151000;Vente;523
524;2020-01-07;581097;Vente;524
525;2020-01-07;245000;Vente;525
526;2020-01-07;198000;Vente;526
527;2020-01-07;233000;Vente;527
528;2020-01-07;73500;Vente;528
529;2020-01-07;140000;Vente;529
530;2020-01-07;66000;Vente;530
531;2020-01-07;42500;Vente;531
532;2020-01-07;59000;Vente;532
533;2020-01-07;66820;Vente;533
534;2020-01-07;51000;Vente;534
535;2020-01-07;257965;Vente;535
536;2020-01-07;150000;Vente;536
537;2020-01-07;172000;Vente;537
538;2020-01-07;75000;Vente;538
539;2020-01-07;140000;Vente;539
540;2020-01-07;169600;Vente;540
541;2020-01-07;12000;Vente;541
542;2020-01-07;74900;Vente;542
543;2020-01-07;162000;Vente;543
544;2020-01-07;88000;Vente;544
545;2020-01-07;87000;Vente;545
546;2020-01-07;361000;Vente;546
547;2020-01-07;218000;Vente;547
548;2020-01-07;159000;Vente;548
549;2020-01-07;107000;Vente;549
550;2020-01-07;82500;Vente;550
551;2020-01-07;123000;Vente;551
552;2020-01-07;97000;Vente;552
553;2020-01-07;39000;Vente;553
554;2020-01-07;34450;Vente;554
555;2020-01-07;80300;Vente;555
556;2020-01-07;102000;Vente;556
557;2020-01-07;92600;Vente;557
558;2020-01-07;59000;Vente;558
559;2020-01-07;84500;Vente;559
560;2020-01-07;111800;Vente;560
561;2020-01-07;51500;Vente;561
562;2020-01-07;73773;Vente;562
563;2020-01-07;166450;Vente;563
564;2020-01-07;165000;Vente;564
565;2020-01-07;371500;Vente;565
566;2020-01-07;150400;Vente;566
567;2020-01-07;204620;Vente;567
568;2020-01-07;118400;Vente;568
569;2020-01-07;216000;Vente;569
570;2020-01-07;233000;Vente;570
571;2020-01-07;60000;Vente;571
572;2020-01-07;123000;Vente;572
573;2020-01-07;144310;Vente;573
574;2020-01-07;76400;Vente;574
575;2020-01-07;69000;Vente;575
576;2020-01-07;128420;Vente;576
577;2020-01-07;80750;Vente;577
578;2020-01-07;196400;Vente;578
579;2020-01-07;57000;Vente;579
580;2020-01-07;602500;Vente;580
581;2020-01-07;283050;Vente;581
582;2020-01-07;192000;Vente;582
583;2020-01-07;61610;Vente;583
584;2020-01-07;86980;Vente;584
585;2020-01-07;84800;Vente;585
586;2020-01-07;253000;Vente;586
587;2020-01-07;56500;Vente;587
588;2020-01-07;45600;Vente;588
589;2020-01-07;245230;Vente;589
590;2020-01-07;119000;Vente;590
591;2020-01-07;92000;Vente;591
592;2020-01-07;179900;Vente;592
593;2020-01-07;98000;Vente;593
594;2020-01-07;127000;Vente;594
595;2020-01-07;167300;Vente;595
596;2020-01-07;143300;Vente;596
597;2020-01-07;52000;Vente;597
598;2020-01-07;92000;Vente;598
599;2020-01-07;137900;Vente;599
600;2020-01-07;172900;Vente;600
601;2020-01-07;132197;Vente;601
602;2020-01-07;11000;Vente;602
603;2020-01-07;120000;Vente;603
604;2020-01-07;585000;Vente;604
605;2020-01-07;67500;Vente;605
606;2020-01-07;31500;Vente;606
607;2020-01-07;275000;Vente;607
608;2020-01-07;74000;Vente;608
609;2020-01-07;90000;Vente;609
610;2020-01-07;209750;Vente;610
611;2020-01-07;196500;Vente;611
612;2020-01-07;142040;Vente;612
613;2020-01-07;183400;Vente;613
614;2020-01-07;170000;Vente;614
615;2020-01-07;261470;Vente;615
616;2020-01-07;630000;Vente;616
617;2020-01-07;40000;Vente;617
618;2020-01-07;207200;Vente;618
619;2020-01-07;266000;Vente;619
620;2020-01-07;223090;Vente;620
621;2020-01-07;1250000;Vente;621
622;2020-01-07;680000;Vente;622
623;2020-01-07;459000;Vente;623
624;2020-01-07;312000;Vente;624
625;2020-01-07;519000;Vente;625
626;2020-01-07;324000;Vente;626
627;2020-01-07;308729;Vente;627
628;2020-01-07;554690;Vente;628
629;2020-01-07;231000;Vente;629
630;2020-01-07;189000;Vente;630
631;2020-01-07;145000;Vente;631
632;2020-01-07;192500;Vente;632
633;2020-01-07;337000;Vente;633
634;2020-01-07;200000;Vente;634
635;2020-01-07;70000;Vente;635
636;2020-01-07;371270;Vente;636
637;2020-01-07;108600;Vente;637
638;2020-01-07;423000;Vente;638
639;2020-01-07;132500;Vente;639
640;2020-01-07;287000;Vente;640
641;2020-01-07;468000;Vente;641
642;2020-01-07;111500;Vente;642
643;2020-01-07;175000;Vente;643
644;2020-01-07;47500;Vente;644
645;2020-01-07;116000;Vente;645
646;2020-01-07;78500;Vente;646
647;2020-01-07;138500;Vente;647
648;2020-01-07;540000;Vente;648
